latitude,longitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
38.26,-120.93,13.0,2084.0,449.0,834.0,305.0,3.2937,114200.0
38.42,-120.72,17.0,5654.0,1085.0,2237.0,953.0,3.0465,144100.0
38.38,-120.77,15.0,4221.0,816.0,1737.0,743.0,2.3125,128600.0
38.38,-120.72,9.0,1787.0,347.0,806.0,306.0,2.525,157200.0
38.4,-120.66,18.0,2144.0,420.0,985.0,381.0,3.175,118500.0
38.42,-120.65,23.0,1538.0,305.0,730.0,267.0,2.6078,116700.0
38.39,-120.62,15.0,3750.0,691.0,1444.0,603.0,2.7399,134800.0
38.36,-120.69,19.0,3267.0,614.0,1252.0,566.0,2.7236,109900.0
38.34,-120.71,16.0,1257.0,231.0,559.0,213.0,4.4531,144300.0
38.31,-120.8,37.0,1341.0,256.0,533.0,242.0,3.2135,123600.0
39.76,-121.83,12.0,9831.0,1921.0,4644.0,1775.0,3.1142,112600.0
39.76,-121.82,23.0,6010.0,1116.0,2710.0,1149.0,3.0068,107300.0
39.78,-121.86,12.0,7653.0,1578.0,3628.0,1494.0,3.0905,117800.0
39.77,-121.85,17.0,5273.0,1177.0,2446.0,1199.0,1.9362,89900.0
39.76,-121.84,14.0,2351.0,620.0,1215.0,548.0,2.3155,102300.0
39.76,-121.86,19.0,7254.0,1785.0,4030.0,1667.0,2.0094,87300.0
39.76,-121.89,15.0,10265.0,1860.0,4591.0,1906.0,3.07,142600.0
39.74,-121.88,12.0,14631.0,3298.0,7517.0,3262.0,1.6785,153100.0
39.75,-121.87,22.0,1707.0,296.0,822.0,297.0,3.6625,126600.0
39.75,-121.86,18.0,1651.0,309.0,856.0,293.0,3.5046,118300.0
39.74,-121.87,7.0,1737.0,290.0,747.0,265.0,3.9,147000.0
39.75,-121.85,39.0,568.0,127.0,267.0,129.0,1.8095,78100.0
39.74,-121.85,39.0,1139.0,265.0,623.0,264.0,2.2833,85800.0
39.74,-121.85,41.0,2901.0,689.0,1426.0,632.0,1.5633,84500.0
39.73,-121.85,52.0,444.0,80.0,1107.0,98.0,3.4191,137500.0
39.73,-121.85,17.0,3425.0,827.0,2469.0,758.0,0.9393,88900.0
39.74,-121.86,13.0,3494.0,843.0,1571.0,784.0,1.1019,120200.0
39.75,-121.84,29.0,4362.0,1053.0,2053.0,1000.0,1.7284,74500.0
39.74,-121.84,43.0,2976.0,599.0,1181.0,560.0,2.2621,85100.0
39.74,-121.83,34.0,3263.0,604.0,1290.0,594.0,2.575,130300.0
39.75,-121.8,28.0,2551.0,378.0,1011.0,374.0,4.3309,125200.0
39.75,-121.82,29.0,7744.0,1375.0,3316.0,1365.0,3.0253,111400.0
39.75,-121.82,37.0,2236.0,372.0,974.0,379.0,3.2016,97000.0
39.75,-121.8,11.0,7212.0,1355.0,3264.0,1264.0,3.1125,122600.0
39.73,-121.79,8.0,5690.0,1189.0,2887.0,1077.0,3.0625,116300.0
39.71,-121.78,8.0,140.0,28.0,84.0,29.0,2.125,179200.0
39.73,-121.82,44.0,2923.0,659.0,1371.0,626.0,2.2925,85800.0
39.73,-121.84,52.0,677.0,152.0,379.0,154.0,1.6797,94800.0
39.73,-121.84,52.0,502.0,100.0,311.0,100.0,1.5481,200000.0
39.73,-121.84,52.0,857.0,232.0,520.0,198.0,0.987,112500.0
39.72,-121.84,52.0,1457.0,389.0,802.0,342.0,0.9566,69000.0
39.73,-121.84,52.0,957.0,263.0,513.0,223.0,1.3672,55000.0
39.73,-121.83,52.0,1741.0,401.0,753.0,377.0,2.0064,77900.0
39.72,-121.85,18.0,7272.0,1559.0,5022.0,1524.0,1.6911,98800.0
39.72,-121.83,52.0,1890.0,420.0,974.0,383.0,1.6827,78700.0
39.7,-121.81,21.0,5051.0,1054.0,2948.0,980.0,1.5863,81300.0
39.73,-121.82,33.0,2242.0,517.0,1160.0,449.0,1.7426,60300.0
39.72,-121.82,42.0,2978.0,694.0,1879.0,679.0,1.5064,66300.0
39.71,-121.81,18.0,1222.0,250.0,708.0,281.0,2.0288,116700.0
39.82,-121.87,11.0,5103.0,825.0,2456.0,810.0,4.5032,159700.0
39.71,-121.89,26.0,2741.0,451.0,1217.0,437.0,3.7007,139200.0
39.79,-121.97,16.0,1453.0,299.0,904.0,286.0,3.5735,89600.0
39.68,-121.84,38.0,549.0,105.0,275.0,94.0,3.5375,153100.0
39.64,-121.8,25.0,2202.0,422.0,1109.0,403.0,2.8306,87500.0
39.66,-121.77,20.0,3759.0,,1705.0,600.0,4.712,158600.0
39.59,-121.74,24.0,1535.0,279.0,726.0,272.0,2.3833,95100.0
39.59,-121.9,20.0,1465.0,278.0,745.0,250.0,3.0625,93800.0
39.88,-121.75,16.0,2867.0,559.0,1203.0,449.0,2.7143,95300.0
39.82,-121.68,15.0,3996.0,748.0,1786.0,728.0,3.5189,141300.0
40.06,-121.54,17.0,858.0,262.0,47.0,27.0,2.4028,67500.0
39.97,-121.51,22.0,1468.0,285.0,611.0,235.0,2.3036,73000.0
39.86,-121.59,14.0,1527.0,269.0,665.0,261.0,2.8657,119600.0
39.83,-121.58,16.0,4591.0,904.0,1904.0,812.0,2.2419,93200.0
39.8,-121.6,10.0,1742.0,307.0,721.0,312.0,2.4537,117900.0
39.79,-121.62,11.0,3835.0,727.0,1456.0,658.0,2.5374,97200.0
39.82,-121.59,12.0,1958.0,369.0,875.0,354.0,2.3507,97600.0
39.83,-121.6,12.0,3744.0,699.0,1532.0,660.0,2.3079,95300.0
39.82,-121.63,11.0,3974.0,727.0,1610.0,634.0,2.6147,107700.0
39.79,-121.6,18.0,2672.0,533.0,1151.0,532.0,2.567,102900.0
39.79,-121.59,20.0,743.0,171.0,395.0,168.0,1.625,88300.0
39.78,-121.59,16.0,2754.0,570.0,1063.0,543.0,1.4048,86500.0
39.78,-121.59,18.0,945.0,205.0,385.0,207.0,2.1838,58000.0
39.77,-121.6,26.0,1503.0,343.0,699.0,296.0,1.875,84000.0
39.77,-121.61,25.0,1612.0,313.0,837.0,303.0,2.963,89500.0
39.78,-121.63,28.0,1677.0,327.0,770.0,309.0,2.6823,93400.0
39.8,-121.57,23.0,790.0,137.0,365.0,152.0,2.1912,115200.0
39.78,-121.57,18.0,2221.0,459.0,952.0,440.0,2.0458,105700.0
39.77,-121.59,24.0,1535.0,276.0,664.0,273.0,2.3068,97300.0
39.79,-121.58,19.0,2636.0,523.0,1184.0,465.0,2.7863,108600.0
39.76,-121.57,20.0,1384.0,257.0,557.0,232.0,2.0882,104900.0
39.76,-121.58,19.0,2487.0,485.0,1110.0,453.0,3.1061,110200.0
39.76,-121.58,18.0,1676.0,332.0,733.0,318.0,1.7875,103800.0
39.75,-121.59,20.0,908.0,206.0,481.0,211.0,2.2,80800.0
39.77,-121.6,23.0,2263.0,497.0,1138.0,455.0,2.3403,87300.0
39.76,-121.6,22.0,2447.0,556.0,1157.0,556.0,1.8245,85500.0
39.76,-121.61,31.0,2431.0,512.0,1026.0,427.0,2.5428,85000.0
39.77,-121.62,23.0,1759.0,366.0,788.0,359.0,1.8125,93500.0
39.76,-121.65,31.0,1599.0,318.0,794.0,303.0,3.0,96700.0
39.76,-121.63,22.0,2598.0,482.0,1151.0,490.0,2.8182,109700.0
39.76,-121.62,14.0,2063.0,559.0,934.0,529.0,1.7788,85800.0
39.75,-121.62,20.0,1173.0,261.0,523.0,258.0,1.0625,92800.0
39.75,-121.63,37.0,1296.0,296.0,569.0,257.0,1.8616,70500.0
39.74,-121.64,20.0,1808.0,334.0,763.0,335.0,2.3711,121800.0
39.71,-121.71,17.0,2748.0,556.0,1174.0,514.0,3.066,102600.0
39.66,-121.66,17.0,3502.0,655.0,1763.0,613.0,2.9625,101200.0
39.69,-121.56,8.0,2836.0,522.0,1163.0,512.0,3.13,168300.0
39.74,-121.57,17.0,1619.0,292.0,705.0,285.0,2.4623,126100.0
39.74,-121.59,17.0,1646.0,330.0,750.0,344.0,2.3798,83800.0
39.75,-121.6,19.0,2888.0,591.0,984.0,499.0,1.9766,92600.0
39.68,-121.6,15.0,1677.0,345.0,844.0,330.0,2.3958,111200.0
39.83,-121.5,15.0,1896.0,408.0,893.0,334.0,1.6948,87500.0
39.72,-121.41,17.0,1583.0,331.0,730.0,306.0,2.3895,87500.0
39.61,-121.39,22.0,2828.0,610.0,986.0,391.0,2.8871,94700.0
39.65,-121.24,35.0,632.0,148.0,221.0,102.0,2.3684,62500.0
39.55,-121.19,17.0,1483.0,284.0,481.0,211.0,1.4896,83300.0
39.52,-121.36,15.0,2490.0,527.0,1229.0,497.0,2.3917,85700.0
39.52,-121.56,9.0,818.0,197.0,358.0,197.0,1.7708,79500.0
39.52,-121.56,26.0,1957.0,429.0,945.0,397.0,1.7308,53600.0
39.53,-121.56,12.0,1733.0,421.0,1861.0,415.0,1.5771,65200.0
39.6,-121.54,15.0,886.0,204.0,576.0,205.0,2.1467,84100.0
39.54,-121.46,14.0,5549.0,1000.0,1822.0,919.0,2.9562,142300.0
39.52,-121.49,25.0,848.0,153.0,436.0,155.0,3.9028,93800.0
39.5,-121.44,26.0,1652.0,325.0,790.0,292.0,3.0446,90800.0
39.49,-121.47,17.0,1554.0,242.0,553.0,230.0,3.2174,91800.0
39.51,-121.47,19.0,3720.0,636.0,1304.0,607.0,2.6921,97500.0
39.53,-121.53,35.0,1806.0,293.0,683.0,295.0,4.5156,91200.0
39.52,-121.53,30.0,1030.0,161.0,448.0,159.0,2.4821,73800.0
39.52,-121.53,24.0,1028.0,185.0,471.0,186.0,2.9688,86400.0
39.51,-121.54,33.0,3585.0,757.0,1887.0,765.0,2.502,62100.0
39.51,-121.52,30.0,3085.0,610.0,1688.0,575.0,2.334,72200.0
39.51,-121.55,39.0,1551.0,353.0,684.0,310.0,2.0357,57600.0
39.51,-121.55,48.0,827.0,198.0,396.0,161.0,0.8024,58300.0
39.51,-121.55,50.0,1050.0,288.0,485.0,260.0,1.1607,51700.0
39.51,-121.56,47.0,1064.0,245.0,603.0,190.0,1.3654,57900.0
39.51,-121.56,46.0,1885.0,385.0,871.0,347.0,1.6352,53100.0
39.5,-121.57,31.0,2023.0,469.0,1073.0,436.0,1.5714,56100.0
39.52,-121.58,25.0,2409.0,490.0,1384.0,479.0,1.9956,58000.0
39.51,-121.58,24.0,1865.0,372.0,1087.0,385.0,1.6389,56700.0
39.5,-121.58,29.0,1947.0,383.0,925.0,337.0,2.1658,57600.0
39.5,-121.62,18.0,2105.0,416.0,974.0,385.0,1.6346,63300.0
39.52,-121.61,24.0,1610.0,324.0,909.0,323.0,1.8661,59800.0
39.53,-121.65,23.0,1387.0,325.0,640.0,289.0,1.4833,65200.0
39.48,-121.57,15.0,202.0,54.0,145.0,40.0,0.8252,42500.0
39.5,-121.55,26.0,3215.0,827.0,2041.0,737.0,1.0585,45100.0
39.5,-121.54,38.0,1438.0,310.0,779.0,275.0,1.3289,39400.0
39.49,-121.53,19.0,1537.0,329.0,617.0,274.0,1.5313,50300.0
39.48,-121.54,29.0,2896.0,596.0,1809.0,617.0,1.8047,53800.0
39.47,-121.54,14.0,1724.0,315.0,939.0,302.0,2.4952,53900.0
39.48,-121.55,41.0,461.0,107.0,284.0,90.0,2.2045,41800.0
39.49,-121.49,20.0,2505.0,468.0,1174.0,429.0,2.9965,88900.0
39.5,-121.52,33.0,1462.0,241.0,569.0,231.0,3.2833,82600.0
39.49,-121.52,30.0,1217.0,238.0,677.0,233.0,2.6563,63600.0
39.48,-121.52,21.0,2628.0,494.0,1364.0,468.0,2.0455,59400.0
39.45,-121.55,18.0,2278.0,523.0,1185.0,475.0,1.3611,60600.0
39.44,-121.53,26.0,1340.0,255.0,662.0,239.0,2.6071,57100.0
39.44,-121.55,31.0,1434.0,283.0,811.0,289.0,1.7727,49000.0
39.43,-121.52,15.0,2119.0,389.0,1079.0,374.0,2.3566,80400.0
39.4,-121.46,17.0,3659.0,735.0,1970.0,667.0,2.425,96200.0
39.39,-121.39,52.0,189.0,34.0,121.0,37.0,3.0208,60000.0
39.33,-121.54,27.0,720.0,150.0,359.0,138.0,2.5313,61300.0
39.39,-121.59,22.0,2515.0,482.0,1284.0,462.0,2.1776,73800.0
39.37,-121.67,27.0,2599.0,502.0,1241.0,502.0,1.9943,86300.0
39.35,-121.65,24.0,1003.0,251.0,1098.0,227.0,1.7552,86400.0
39.34,-121.67,22.0,1217.0,224.0,537.0,187.0,2.6607,84600.0
39.32,-121.65,40.0,812.0,154.0,374.0,142.0,2.7891,73500.0
39.36,-121.69,29.0,2220.0,471.0,1170.0,428.0,2.3224,56200.0
39.37,-121.7,32.0,1852.0,373.0,911.0,365.0,1.7885,57000.0
39.36,-121.7,46.0,1210.0,243.0,523.0,242.0,1.91,63900.0
39.36,-121.7,37.0,2330.0,495.0,1505.0,470.0,2.0474,56000.0
39.36,-121.69,34.0,842.0,186.0,635.0,165.0,1.8355,63000.0
39.38,-121.74,27.0,2596.0,435.0,1100.0,409.0,2.3243,85500.0
39.33,-121.8,30.0,1019.0,192.0,501.0,185.0,2.5259,81300.0
39.42,-121.71,21.0,1432.0,284.0,862.0,275.0,2.2813,57600.0
39.41,-121.71,22.0,1814.0,342.0,941.0,323.0,2.1728,59400.0
39.4,-121.75,29.0,1687.0,327.0,864.0,334.0,2.4943,81900.0
39.48,-121.79,39.0,1105.0,180.0,408.0,166.0,3.3929,82100.0
38.15,-120.46,16.0,4221.0,781.0,1516.0,697.0,2.3816,116000.0
38.12,-120.55,10.0,1566.0,325.0,785.0,291.0,2.5,116100.0
38.09,-120.56,34.0,2745.0,559.0,1150.0,491.0,2.3654,94900.0
38.07,-120.55,27.0,1199.0,224.0,463.0,199.0,2.9063,92200.0
38.07,-120.54,37.0,736.0,148.0,339.0,140.0,2.2875,79900.0
37.97,-120.67,9.0,7450.0,1475.0,2233.0,930.0,2.6528,133000.0
38.09,-120.46,16.0,3758.0,715.0,1777.0,615.0,3.0,122600.0
38.24,-120.79,19.0,1003.0,235.0,538.0,190.0,2.9821,90400.0
38.2,-120.9,16.0,3120.0,641.0,1319.0,526.0,2.0472,93200.0
38.16,-120.88,8.0,2029.0,387.0,1000.0,364.0,4.0109,125900.0
38.11,-120.91,9.0,3585.0,680.0,1800.0,598.0,3.636,133100.0
38.12,-120.76,7.0,7188.0,1288.0,3175.0,1115.0,3.8488,130600.0
38.28,-120.65,21.0,3095.0,681.0,1341.0,546.0,2.1382,104000.0
38.24,-120.72,32.0,2685.0,543.0,1061.0,492.0,2.5473,101600.0
38.19,-120.67,17.0,2967.0,611.0,1387.0,564.0,2.0417,92600.0
38.2,-120.57,13.0,4110.0,847.0,1796.0,706.0,2.6417,122300.0
38.25,-120.43,13.0,763.0,161.0,311.0,125.0,2.4583,112500.0
38.39,-120.56,20.0,1326.0,307.0,563.0,237.0,2.6667,86600.0
38.41,-120.54,21.0,1435.0,294.0,668.0,267.0,2.5667,77400.0
38.42,-120.42,18.0,2912.0,663.0,999.0,411.0,2.7344,91900.0
38.33,-120.41,17.0,1463.0,338.0,529.0,226.0,3.024,100900.0
38.31,-120.55,18.0,1411.0,312.0,592.0,230.0,1.625,94700.0
38.35,-120.57,17.0,1504.0,358.0,661.0,250.0,2.2604,84800.0
38.21,-120.36,10.0,4300.0,845.0,1480.0,609.0,2.8208,139900.0
38.23,-120.34,10.0,3757.0,722.0,546.0,223.0,3.75,121400.0
38.26,-120.33,13.0,2962.0,546.0,252.0,103.0,4.4063,155800.0
