make,model,year,engine_hp,engine_cylinders,transmission_type,vehicle_style,highway_mpg,city_mpg,price
BMW,3 Series,2015,240.0,4.0,AUTOMATIC,Sedan,35,23,37500
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,Sedan,43,31,41000
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,Sedan,36,24,32950
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,Sedan,40,30,41850
BMW,3 Series,2016,320.0,6.0,AUTOMATIC,Sedan,33,22,47800
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,Sedan,42,32,39850
BMW,3 Series,2016,240.0,4.0,AUTOMATIC,Sedan,34,22,38350
BMW,3 Series,2016,240.0,4.0,AUTOMATIC,Sedan,34,22,40350
BMW,3 Series,2016,240.0,4.0,MANUAL,Sedan,34,22,38350
BMW,3 Series,2016,240.0,4.0,AUTOMATIC,Wagon,34,22,42650
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,Sedan,36,24,33150
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,Sedan,35,23,35150
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,Wagon,40,30,44150
BMW,3 Series,2016,320.0,6.0,AUTOMATIC,Sedan,33,22,45800
BMW,3 Series,2017,248.0,4.0,AUTOMATIC,Sedan,34,23,38750
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,Sedan,34,23,35450
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,Sedan,35,23,33450
BMW,3 Series,2017,248.0,4.0,AUTOMATIC,Sedan,33,23,40750
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,Sedan,40,30,42250
BMW,3 Series,2017,248.0,4.0,AUTOMATIC,Wagon,33,23,42950
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,Sedan,42,32,40250
BMW,3 Series,2017,320.0,6.0,AUTOMATIC,Sedan,31,21,49900
BMW,3 Series,2017,320.0,6.0,AUTOMATIC,Sedan,32,21,47900
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,Wagon,40,30,44450
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,Sedan,19,15,2232
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,Wagon,20,15,2000
Mercedes-Benz,300-Class,1991,158.0,6.0,AUTOMATIC,Sedan,22,17,2000
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,Sedan,20,15,2105
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,Wagon,18,15,2199
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,Sedan,22,16,2000
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,Sedan,19,15,2124
Mercedes-Benz,300-Class,1991,228.0,6.0,MANUAL,Convertible,21,14,3552
Mercedes-Benz,300-Class,1991,217.0,6.0,AUTOMATIC,Coupe,22,15,2179
Mercedes-Benz,300-Class,1991,121.0,5.0,AUTOMATIC,Sedan,30,23,2000
Mercedes-Benz,300-Class,1992,121.0,5.0,AUTOMATIC,Sedan,29,23,2000
Mercedes-Benz,300-Class,1992,228.0,6.0,AUTOMATIC,Sedan,17,14,2377
Mercedes-Benz,300-Class,1992,228.0,6.0,MANUAL,Convertible,21,15,3814
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,Sedan,19,15,2207
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,Wagon,20,15,2000
Mercedes-Benz,300-Class,1992,217.0,6.0,AUTOMATIC,Coupe,21,15,2248
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,Sedan,22,16,2065
Mercedes-Benz,300-Class,1992,148.0,6.0,AUTOMATIC,Sedan,22,18,2547
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,Wagon,18,15,2282
Mercedes-Benz,300-Class,1992,158.0,6.0,AUTOMATIC,Sedan,23,18,2000
Mercedes-Benz,300-Class,1993,177.0,6.0,AUTOMATIC,Wagon,19,15,2544
Mercedes-Benz,300-Class,1993,217.0,6.0,AUTOMATIC,Coupe,22,17,2397
Mercedes-Benz,300-Class,1993,121.0,5.0,AUTOMATIC,Sedan,30,23,2000
Mercedes-Benz,300-Class,1993,228.0,6.0,MANUAL,Convertible,21,14,4174
Mercedes-Benz,300-Class,1993,217.0,6.0,AUTOMATIC,Sedan,22,17,2187
Mercedes-Benz,300-Class,1993,148.0,6.0,AUTOMATIC,Sedan,22,18,2729
Mercedes-Benz,300-Class,1993,177.0,6.0,AUTOMATIC,Sedan,19,15,2433
Mercedes-Benz,300-Class,1993,194.0,6.0,AUTOMATIC,Sedan,23,17,2247
Mercedes-Benz,300-Class,1993,228.0,6.0,AUTOMATIC,Sedan,18,14,2540
Mitsubishi,3000GT,1997,218.0,6.0,MANUAL,2dr Hatchback,23,17,3941
Mitsubishi,3000GT,1997,161.0,6.0,MANUAL,2dr Hatchback,22,17,3295
Mitsubishi,3000GT,1997,320.0,6.0,MANUAL,2dr Hatchback,22,16,6008
Mitsubishi,3000GT,1998,320.0,6.0,MANUAL,2dr Hatchback,22,16,6710
Mitsubishi,3000GT,1998,161.0,6.0,MANUAL,2dr Hatchback,22,17,3701
Mitsubishi,3000GT,1998,218.0,6.0,MANUAL,2dr Hatchback,23,17,4671
Mitsubishi,3000GT,1999,218.0,6.0,MANUAL,2dr Hatchback,23,17,5306
Mitsubishi,3000GT,1999,320.0,6.0,MANUAL,2dr Hatchback,22,16,7600
Mitsubishi,3000GT,1999,161.0,6.0,MANUAL,2dr Hatchback,22,17,4090
Chrysler,300,2015,300.0,6.0,AUTOMATIC,Sedan,27,18,37570
Chrysler,300,2015,292.0,6.0,AUTOMATIC,Sedan,31,19,31695
Chrysler,300,2015,292.0,6.0,AUTOMATIC,Sedan,31,19,38070
Chrysler,300,2015,292.0,6.0,AUTOMATIC,Sedan,27,18,44895
Chrysler,300,2015,300.0,6.0,AUTOMATIC,Sedan,31,19,35070
Chrysler,300,2015,292.0,6.0,AUTOMATIC,Sedan,31,19,42395
Chrysler,300,2015,292.0,6.0,AUTOMATIC,Sedan,27,18,34195
Chrysler,300,2015,292.0,6.0,AUTOMATIC,Sedan,27,18,40570
Chrysler,300,2016,300.0,6.0,AUTOMATIC,Sedan,27,18,38095
Chrysler,300,2016,300.0,6.0,AUTOMATIC,Sedan,31,19,35595
Chrysler,300,2016,292.0,6.0,AUTOMATIC,Sedan,27,18,45190
Chrysler,300,2016,292.0,6.0,AUTOMATIC,Sedan,31,19,32260
Chrysler,300,2016,292.0,6.0,AUTOMATIC,Sedan,27,18,37755
Chrysler,300,2016,292.0,6.0,AUTOMATIC,Sedan,27,18,41055
Chrysler,300,2016,300.0,6.0,AUTOMATIC,Sedan,31,19,36090
Chrysler,300,2016,292.0,6.0,AUTOMATIC,Sedan,31,19,42690
Chrysler,300,2016,292.0,6.0,AUTOMATIC,Sedan,31,19,38555
Chrysler,300,2016,292.0,6.0,AUTOMATIC,Sedan,31,19,35255
Chrysler,300,2016,300.0,6.0,AUTOMATIC,Sedan,27,18,38590
Chrysler,300,2016,292.0,6.0,AUTOMATIC,Sedan,27,18,34760
Chrysler,300,2017,292.0,6.0,AUTOMATIC,Sedan,27,18,41135
Chrysler,300,2017,292.0,6.0,AUTOMATIC,Sedan,27,18,45270
Chrysler,300,2017,300.0,6.0,AUTOMATIC,Sedan,27,18,38670
Chrysler,300,2017,292.0,6.0,AUTOMATIC,Sedan,30,19,38635
Chrysler,300,2017,300.0,6.0,AUTOMATIC,Sedan,30,19,36170
Chrysler,300,2017,300.0,6.0,AUTOMATIC,Sedan,27,18,38175
Chrysler,300,2017,292.0,6.0,AUTOMATIC,Sedan,30,19,32340
Chrysler,300,2017,292.0,6.0,AUTOMATIC,Sedan,30,19,42770
Chrysler,300,2017,292.0,6.0,AUTOMATIC,Sedan,27,18,34840
Chrysler,300,2017,300.0,6.0,AUTOMATIC,Sedan,30,19,35675
Chrysler,300M,2002,250.0,6.0,AUTOMATIC,Sedan,24,16,32065
Chrysler,300M,2002,250.0,6.0,AUTOMATIC,Sedan,24,16,28540
Chrysler,300M,2003,255.0,6.0,AUTOMATIC,Sedan,25,16,32315
Chrysler,300M,2003,250.0,6.0,AUTOMATIC,Sedan,25,16,28885
Chrysler,300M,2004,250.0,6.0,AUTOMATIC,Sedan,25,16,29185
Chrysler,300M,2004,255.0,6.0,AUTOMATIC,Sedan,25,16,32615
Nissan,300ZX,1994,222.0,6.0,MANUAL,Convertible,22,16,2847
Nissan,300ZX,1994,222.0,6.0,MANUAL,Coupe,22,16,2488
Nissan,300ZX,1994,300.0,6.0,MANUAL,2dr Hatchback,22,16,2683
Nissan,300ZX,1994,222.0,6.0,MANUAL,Coupe,22,16,2553
Nissan,300ZX,1995,300.0,6.0,MANUAL,Coupe,22,16,3049
Nissan,300ZX,1995,222.0,6.0,MANUAL,Coupe,22,17,2774
Nissan,300ZX,1995,222.0,6.0,MANUAL,Coupe,22,17,2702
Nissan,300ZX,1995,222.0,6.0,MANUAL,Convertible,22,17,3101
Nissan,300ZX,1996,300.0,6.0,MANUAL,Coupe,22,16,3510
Nissan,300ZX,1996,222.0,6.0,MANUAL,Coupe,22,17,3107
Nissan,300ZX,1996,222.0,6.0,MANUAL,Convertible,22,17,3624
Nissan,300ZX,1996,222.0,6.0,MANUAL,Coupe,22,17,3185
Mazda,323,1992,82.0,4.0,MANUAL,2dr Hatchback,33,25,2000
Mazda,323,1992,82.0,4.0,MANUAL,2dr Hatchback,33,25,2000
Mazda,323,1993,82.0,4.0,MANUAL,2dr Hatchback,33,25,2000
Mazda,323,1993,82.0,4.0,MANUAL,2dr Hatchback,32,24,2000
Mazda,323,1994,82.0,4.0,MANUAL,2dr Hatchback,33,25,2000
Mercedes-Benz,350-Class,1990,134.0,6.0,AUTOMATIC,Sedan,23,19,2144
Mercedes-Benz,350-Class,1990,134.0,6.0,AUTOMATIC,Sedan,23,19,2098
Mercedes-Benz,350-Class,1991,134.0,6.0,AUTOMATIC,Sedan,23,19,2178
Mercedes-Benz,350-Class,1991,134.0,6.0,AUTOMATIC,Sedan,23,19,2311
Nissan,350Z,2007,306.0,6.0,AUTOMATIC,Convertible,23,17,36550
Nissan,350Z,2007,306.0,6.0,AUTOMATIC,Convertible,23,17,41250
Nissan,350Z,2007,306.0,6.0,AUTOMATIC,Coupe,24,17,30600
Nissan,350Z,2007,306.0,6.0,AUTOMATIC,Coupe,24,17,37100
Nissan,350Z,2007,306.0,6.0,MANUAL,Coupe,25,18,27900
Nissan,350Z,2007,306.0,6.0,MANUAL,Coupe,25,18,32700
Nissan,350Z,2007,306.0,6.0,MANUAL,Convertible,24,17,40250
Nissan,350Z,2007,306.0,6.0,MANUAL,Convertible,24,17,35550
Nissan,350Z,2007,306.0,6.0,MANUAL,Coupe,25,18,36100
Nissan,350Z,2007,306.0,6.0,AUTOMATIC,Coupe,24,17,33200
Nissan,350Z,2007,306.0,6.0,MANUAL,Convertible,24,17,37900
Nissan,350Z,2007,306.0,6.0,MANUAL,Coupe,25,18,29600
Nissan,350Z,2007,306.0,6.0,MANUAL,Coupe,25,18,38070
Nissan,350Z,2007,306.0,6.0,AUTOMATIC,Convertible,23,17,38900
Nissan,350Z,2008,306.0,6.0,AUTOMATIC,Coupe,24,17,33840
Nissan,350Z,2008,306.0,6.0,MANUAL,Convertible,24,17,38630
Nissan,350Z,2008,306.0,6.0,AUTOMATIC,Convertible,23,17,39630
Nissan,350Z,2008,306.0,6.0,AUTOMATIC,Coupe,24,17,37740
Nissan,350Z,2008,306.0,6.0,AUTOMATIC,Convertible,23,17,41980
Nissan,350Z,2008,306.0,6.0,MANUAL,Convertible,24,17,36280
Nissan,350Z,2008,306.0,6.0,MANUAL,Coupe,25,18,36740
Nissan,350Z,2008,306.0,6.0,MANUAL,Convertible,24,17,40980
Nissan,350Z,2008,306.0,6.0,MANUAL,Coupe,25,18,38680
Nissan,350Z,2008,306.0,6.0,MANUAL,Coupe,25,18,28510
Nissan,350Z,2008,306.0,6.0,MANUAL,Coupe,25,18,30210
Nissan,350Z,2008,306.0,6.0,AUTOMATIC,Coupe,24,17,31210
Nissan,350Z,2008,306.0,6.0,MANUAL,Coupe,25,18,33340
Nissan,350Z,2008,306.0,6.0,AUTOMATIC,Convertible,23,17,37280
Nissan,350Z,2009,306.0,6.0,MANUAL,Convertible,24,17,41570
Nissan,350Z,2009,306.0,6.0,MANUAL,Convertible,24,17,36870
Nissan,350Z,2009,306.0,6.0,AUTOMATIC,Convertible,23,17,42570
Nissan,350Z,2009,306.0,6.0,AUTOMATIC,Convertible,23,17,37870
Nissan,350Z,2009,306.0,6.0,MANUAL,Convertible,24,17,39220
Nissan,350Z,2009,306.0,6.0,AUTOMATIC,Convertible,23,17,40220
Ferrari,360,2002,400.0,8.0,MANUAL,Convertible,15,10,160829
Ferrari,360,2002,400.0,8.0,MANUAL,Coupe,15,10,140615
Ferrari,360,2002,400.0,8.0,AUTOMATED_MANUAL,Coupe,15,10,150694
Ferrari,360,2002,400.0,8.0,AUTOMATED_MANUAL,Convertible,15,10,170829
Ferrari,360,2003,400.0,8.0,MANUAL,Convertible,15,10,165986
Ferrari,360,2003,400.0,8.0,AUTOMATED_MANUAL,Coupe,15,10,154090
Ferrari,360,2003,400.0,8.0,MANUAL,Coupe,15,10,143860
Ferrari,360,2003,400.0,8.0,AUTOMATED_MANUAL,Convertible,15,10,176287
Ferrari,360,2004,400.0,8.0,AUTOMATED_MANUAL,Coupe,15,10,157767
Ferrari,360,2004,425.0,8.0,AUTOMATED_MANUAL,Coupe,15,10,187124
Ferrari,360,2004,400.0,8.0,MANUAL,Coupe,15,10,147332
Ferrari,360,2004,400.0,8.0,MANUAL,Convertible,15,10,169900
Ferrari,360,2004,400.0,8.0,AUTOMATED_MANUAL,Convertible,15,10,180408
Nissan,370Z,2015,350.0,6.0,AUTOMATIC,Coupe,26,19,46790
Nissan,370Z,2015,332.0,6.0,MANUAL,Convertible,24,17,48100
Nissan,370Z,2015,332.0,6.0,MANUAL,Coupe,26,18,29990
Nissan,370Z,2015,332.0,6.0,AUTOMATIC,Convertible,25,18,41820
Nissan,370Z,2015,332.0,6.0,AUTOMATIC,Coupe,26,19,31290
Nissan,370Z,2015,332.0,6.0,AUTOMATIC,Coupe,26,19,34870
Nissan,370Z,2015,332.0,6.0,MANUAL,Coupe,26,18,33570
Nissan,370Z,2015,332.0,6.0,AUTOMATIC,Convertible,25,18,46570
Nissan,370Z,2015,332.0,6.0,MANUAL,Coupe,26,18,37970
Nissan,370Z,2015,332.0,6.0,MANUAL,Coupe,26,18,37070
Nissan,370Z,2015,332.0,6.0,AUTOMATIC,Convertible,25,18,49400
Nissan,370Z,2015,332.0,6.0,MANUAL,Convertible,24,17,45270
Nissan,370Z,2015,332.0,6.0,AUTOMATIC,Coupe,26,19,39270
Nissan,370Z,2015,350.0,6.0,MANUAL,Coupe,26,18,45490
Nissan,370Z,2015,350.0,6.0,MANUAL,Coupe,26,18,41990
Nissan,370Z,2015,332.0,6.0,AUTOMATIC,Coupe,26,19,38370
Nissan,370Z,2015,350.0,6.0,AUTOMATIC,Coupe,26,19,43290
Nissan,370Z,2016,332.0,6.0,AUTOMATIC,Convertible,25,18,41820
Nissan,370Z,2016,332.0,6.0,MANUAL,Convertible,24,17,48100
Nissan,370Z,2016,350.0,6.0,AUTOMATIC,Coupe,26,19,43290
Nissan,370Z,2016,332.0,6.0,AUTOMATIC,Coupe,26,19,39270
Nissan,370Z,2016,332.0,6.0,AUTOMATIC,Coupe,26,19,34870
Nissan,370Z,2016,350.0,6.0,MANUAL,Coupe,26,18,41990
Nissan,370Z,2016,332.0,6.0,AUTOMATIC,Coupe,26,19,38370
Nissan,370Z,2016,332.0,6.0,MANUAL,Convertible,24,17,45270
Nissan,370Z,2016,350.0,6.0,MANUAL,Coupe,26,18,45490
Nissan,370Z,2016,332.0,6.0,MANUAL,Coupe,26,18,29990
Nissan,370Z,2016,332.0,6.0,AUTOMATIC,Convertible,25,18,46570
Nissan,370Z,2016,350.0,6.0,AUTOMATIC,Coupe,26,19,46790
Nissan,370Z,2016,332.0,6.0,AUTOMATIC,Convertible,25,18,49400
Nissan,370Z,2016,332.0,6.0,MANUAL,Coupe,26,18,37070
Nissan,370Z,2016,332.0,6.0,AUTOMATIC,Coupe,26,19,31290
Nissan,370Z,2016,332.0,6.0,MANUAL,Coupe,26,18,37970
Nissan,370Z,2016,332.0,6.0,MANUAL,Coupe,26,18,33570
